Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,22 STORE BUILDINGS,4,2899,53,,K1,4095 PARK AVENUE,,10457,0,2,2,"8,660","8,560",1931,4,K1,0,5/26/22
2,BATHGATE,22 STORE BUILDINGS,4,2927,4,,K1,3750 3 AVENUE,,10456,0,3,3,"4,000","3,300",1994,4,K1,"2,250,000",4/5/22
2,BATHGATE,22 STORE BUILDINGS,4,3032,33,,K2,410/420 EAST 189 STREET,,10458,0,4,4,"7,849","15,010",1931,4,K2,"8,500,000",6/6/22
2,BATHGATE,26 OTHER HOTELS,4,2899,1,,H6,1732 WEBSTER AVENUE,,10457,21,1,22,"5,100","17,548",1930,4,H6,"11,250,000",3/16/22
2,BATHGATE,29 COMMERCIAL GARAGES,4,2897,136,,G7,405 CLAREMONT PARKWAY,,10457,0,0,0,"3,647",0,,4,G7,0,12/22/22
2,BATHGATE,29 COMMERCIAL GARAGES,4,2899,49,,G7,412 EAST 175 STREET,,10457,0,0,0,"2,708",0,,4,G7,0,5/26/22
2,BATHGATE,29 COMMERCIAL GARAGES,4,2899,50,,G7,414 EAST 175 STREET,,10457,0,0,0,"5,410",0,,4,G7,0,5/26/22
2,BATHGATE,29 COMMERCIAL GARAGES,4,3032,25,,G7,N/A WEBSTER AVENUE,,10458,0,0,0,"7,539",0,,4,G7,"2,800,000",2/2/22
2,BATHGATE,29 COMMERCIAL GARAGES,4,3038,11,,G2,4522 PARK AVENUE,,10457,0,1,1,"3,379","3,400",1931,4,G2,"1,500,000",8/18/22
2,BATHGATE,30 WAREHOUSES,4,2899,37,,E9,1760 WEBSTER AVENUE,,10457,0,1,1,"19,587","12,824",1931,4,E9,0,4/1/22
2,BATHGATE,30 WAREHOUSES,4,2899,58,,E7,4077 PARK AVENUE,,10457,0,7,7,"9,180","48,000",1931,4,E7,0,12/1/22
