Queens Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,20,,B9,450 BEACH 48TH STREET,,11691,2,0,2,"9,677","1,869",1960,1,B9,0,2/22/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,103,,B2,62-28 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B2,"699,000",12/9/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,104,,B1,62-26 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B1,"753,505",11/2/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,106,,B2,62-20 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B2,"814,600",1/27/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16007,43,,B2,62-35 ALMEDA AVENUE,,11692,2,0,2,"3,317","2,254",2010,1,B2,0,12/8/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16015,44,,B2,466 BEACH 63RD STREET,,11692,2,0,2,"2,529","1,560",1960,1,B2,"680,000",4/19/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,8,,B2,614 BEACH 64TH ST,,11692,2,0,2,"3,400","2,068",1996,1,B2,0,3/12/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,20,,B2,632 BEACH 64TH STREET,,11692,2,0,2,"3,399","2,068",1996,1,B2,0,10/6/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,20,,B2,632 BEACH 64TH STREET,,11692,2,0,2,"3,399","2,068",1996,1,B2,"20,000",11/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,20,,B2,632 BEACH 64TH STREET,,11692,2,0,2,"3,400","2,068",1996,1,B2,"60,000",5/13/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,22,,B2,638 BEACH 64 STREET,,11692,2,0,2,"3,399","2,068",1996,1,B2,"690,000",6/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16024,7,,B2,614 BEACH 65TH STREET,,11692,2,0,2,"3,399","2,068",1994,1,B2,"720,000",7/15/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16024,27,,B2,643 BEACH 64 STREET,,11692,2,0,2,"4,200","2,068",1994,1,B2,"630,000",3/18/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,5,,B2,614 BEACH 67TH STREET,,11692,2,0,2,"2,499","2,040",2021,1,B2,"901,151",12/15/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,15,,B2,632 BEACH 67TH STREET,,11692,2,0,2,"4,125","2,400",2003,1,B2,0,6/3/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,5,,B9,610 BEACH 69TH STREET,,11692,2,0,2,"2,725","1,344",1960,1,B9,0,5/12/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,8,,B9,614 BEACH 69 STREET,,11692,2,0,2,"2,724","1,344",1960,1,B9,"625,000",6/29/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,16,,B9,630 BEACH 69 STREET,,11692,2,0,2,"2,725","1,344",1960,1,B9,"368,000",2/1/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,25,,B9,650 BEACH 69TH STREET,,11692,2,0,2,"4,000","1,344",1960,1,B9,0,3/8/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,54,,B9,631 BEACH 68TH STREET,,11692,2,0,2,"3,500","2,196",1960,1,B9,"630,000",5/18/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,79,,B2,505 BEACH 63 STREET,,11692,2,0,2,"3,164","1,978",2000,1,B2,10,3/8/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,19,,B3,544 BEACH 65TH STREET,,11692,2,0,2,"2,499","1,514",1960,1,B3,"400,000",7/5/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,65,,B9,511 BEACH 64TH STREET,,11692,2,0,2,"2,950","2,250",1960,1,B9,0,7/20/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,19,,B2,540 BEACH 67 STREET,,11692,2,0,2,"3,999","2,240",2003,1,B2,0,8/19/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,73,,B2,6610 THURSBY AVENUE,,11692,2,0,2,"2,500","1,530",1930,1,B2,"500,000",4/8/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,47,,B2,551 BEACH 67TH ST,,11692,2,0,2,"3,000","1,890",2004,1,B2,0,3/23/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,59,,B1,525 BEACH 67 STREET,,11692,2,0,2,"3,999","2,400",2002,1,B1,"500,000",12/8/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,61,,B1,523 BEACH 67 ST,,11692,2,0,2,"3,999","2,400",2002,1,B1,0,12/24/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16035,28,,B1,68-16 ELIZABETH AVENUE,,11692,2,0,2,"2,929","1,860",2006,1,B1,0,4/4/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,27,,B9,442 BEACH 64TH STREET,,11692,2,0,2,"2,550","2,016",1940,1,B9,"750,000",2/25/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,37,,B9,466 BEACH 64TH ST,,11692,2,0,2,"2,550","2,016",1940,1,B9,0,10/12/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,46,,B9,453 BEACH 63RD,,11692,2,0,2,"2,550","1,932",1940,1,B9,"485,000",11/4/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,56,,B9,429 BEACH 63 ST,,11692,2,0,2,"2,550","1,932",1940,1,B9,10,7/20/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16040,28,,B3,458 BEACH 67 STREET,,11692,2,0,2,"3,999","1,923",1920,1,B3,"624,000",10/20/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,40,,B2,4-63 BEACH 68 STREET,,11692,2,0,2,"3,999","2,200",2003,1,B2,0,10/17/22
